Row.names	RNAINO_R1.x	RNAINO_R2.x	RNAINO_R3.x	RNAINO_R4.x	RNAINO_R5.x	RNAISO_R1.x	RNAINO_R1.y	RNAINO_R2.y	RNAINO_R3.y	RNAINO_R4.y	RNAINO_R5.y	RNAISO_R1.y	logFC	logCPM	PValue	FDR
transcript:CTRG_01057-t43_1	609	592	647	851	807	484	59.33020004	60.34200257	77.75331146	48.33119374	52.72440457	33.03123854	-7.28E-01	5.83E+00	3.02E-01	6.37E-01
transcript:CTRG_01058-t43_1	93	99	58	76	99	15	9.060276853	10.09097678	6.97015775	4.316299323	6.468049632	1.023695409	-2.74E+00	2.75E+00	1.62E-02	1.75E-01
transcript:CTRG_01059-t43_1	276	274	249	251	236	69	26.88856356	27.928562	29.92360827	14.25514645	15.41878498	4.708998883	-2.20E+00	4.40E+00	3.36E-02	2.44E-01
transcript:CTRG_01060-t43_1	0	2	0	1	3	1	0	0.203858117	0	0.056793412	0.196001504	0.068246361	NA	NA	NA	NA
transcript:CTRG_01061-t43_1	57	38	37	174	149	14	5.55307291	3.873304219	4.446479944	9.882053713	9.734741365	0.955449049	-2.55E+00	2.47E+00	2.18E-03	6.08E-02
transcript:CTRG_01062-t43_1	384	377	358	57392	43504	4050	37.41017539	38.42725501	43.02269784	3259.48751	2842.283143	276.3977605	-1.65E+00	9.74E+00	7.85E-01	9.28E-01
transcript:CTRG_01063-t43_1	587	564	493	1910	1323	473	57.18690874	57.48798893	59.24634088	108.4754172	86.43666326	32.28052858	-9.73E-01	6.02E+00	5.28E-02	3.05E-01
transcript:CTRG_01064-t43_1	593	549	432	1767	1582	826	57.77144273	55.95905306	51.91565773	100.3539593	103.3581264	56.37149388	-1.54E-01	6.10E+00	7.83E-01	9.27E-01
transcript:CTRG_01065-t43_1	52	46	30	374	329	214	5.065961251	4.688736686	3.605254009	21.24073614	21.4948316	14.60472117	7.39E-01	3.46E+00	3.36E-01	6.62E-01
transcript:CTRG_01066-t43_1	42	45	25	335	223	191	4.091737934	4.586807628	3.004378341	19.02579307	14.56944513	13.03505488	8.58E-01	3.21E+00	2.61E-01	5.96E-01
transcript:CTRG_01067-t43_1	701	779	649	1157	1132	507	68.29305456	79.40273649	77.99366172	65.70997785	73.95790084	34.60090484	-9.33E-01	6.08E+00	1.18E-01	4.28E-01
transcript:CTRG_01068-t43_1	405	401	370	3440	2739	2394	39.45604436	40.87355242	44.46479944	195.3693378	178.9493731	163.3817873	1.07E+00	6.68E+00	1.39E-01	4.60E-01
transcript:CTRG_01069-t43_1	100	76	90	530	568	161	9.742233175	7.746608438	10.81576203	30.10050844	37.10961809	10.98766406	-4.60E-01	4.02E+00	6.47E-01	8.53E-01
transcript:CTRG_01070-t43_1	214	172	167	1057	912	731	20.84837899	17.53179804	20.06924732	60.03063664	59.58445721	49.88808962	7.95E-01	5.17E+00	1.55E-01	4.85E-01
